manual-qid,NCTId,pi_strings,pi_titles,pi_affiliations
,NCT01139294,"Thomas J Abramo, MD | Thomas Abramo",Professor,Monroe Carell Jr. Children's Hospital at Vanderbilt
,NCT01938651,Thomas Yankeelov | Thomas Yankeelov,"Director of Cancer Imaging Research, Vanderbilt University Institute of Imaging Science (VUIIS); Associate Professor of Radiology and Radiological Sciences, Biomedical Engineering, Physics and Astronomy, and Cancer Biology;",Vanderbilt-Ingram Cancer Center
,NCT00288353,"Tianlai Tang, M.D.",,Vanderbilt University Medical Center
,NCT02236546,"Tom Yankeelov, PhD | Thomas Yankeelov","Ingram Professor of Cancer Research, Professor of Radiology and Radiological Sciences, Biomedical Engineering, Physics, and Cancer Biology, Director of Cancer Imaging Research",Vanderbilt-Ingram Cancer Center
,NCT02994186,"Vance L Albaugh, MD, PhD | Vance L. Albaugh, MD, PhD",Postdoctoral Fellow and Resident Surgeon,Vanderbilt University Medical Center
,NCT02872493,"Vance L Albaugh, MD, PhD | Vance L. Albaugh, MD, PhD | Vance L Albaugh, MD, PhD",Postdoctoral Fellow and Resident Surgeon,Vanderbilt University Medical Center
,NCT01383239,"Warren R Dunn, MD, MPH",,Vanderbilt University Medical Center
,NCT00761943,"Warren R. Dunn, M.D.",,Vanderbilt Orthopaedics and Rehabilitation
,NCT03562247,"Wendi Mason, MSN | Wendi Mason",Principle Invesigator,Vanderbilt University Medical Center
,NCT00469482,"Wes Ely, MD | Wes Ely",Professor of Medicine,Vanderbilt Universtiy
,NCT00179036,"William O. Richards, MD",,Vanderbilt University Medical Center
,NCT00416650,"William Pao, MD | William Pao, MD","Professor of Medicine, Cancer Biology, & Pathology/ Microbiology/ Immunology; Director, Division of Hematology and Oncology; Ingram Professor of Cancer Research; Director, Personalized Cancer Medicine; Medical Oncologist",Vanderbilt-Ingram Cancer Center
,NCT02580526,"Yandong Jiang, MD, PhD | Yandong Jiang",Professor Department of Anesthesiology,Vanderbilt University
,NCT00288366,"Yuejin Chen, M.D.",,Vanderbilt University Medical Center
,NCT02606253,"Zachary L Cox, PharmD | Zachary L. Cox | Zachary L Cox, PharmD","Associate Professor, Lipscomb University College of Pharmacy",Vanderbilt University
